Word/Phrase,TF-IDF_Average,Intensity_Coefficient
fine,0.0018899094136905358,0.2888759735754258
and another,0.000314317187793889,0.2884189688143278
because there,0.0005894384980861344,0.28836761346148915
this starbucks and,0.0007642272258290102,0.28815604527462885
really appreciate,0.0002685264873119912,0.28775525543962155
so good,0.0006370912631353799,0.2876452033673498
it great,0.0007382978666891822,0.2875242127422309
only complaint,0.00041340868308131773,0.28736574830515804
special,0.0013377781692980872,0.2872914661852584
bonus,0.0004652286692154331,0.28717966862813693
my day,0.0013555315148247103,0.28710057235352976
get free,0.0003351776115982549,0.28684391945875387
and beyond,0.0007081534023314985,0.2867639089009997
craving,0.00044197178972864515,0.28659082529043794
enjoy your,0.00037012492172396315,0.28656799805301847
town,0.0023240693122059623,0.28623487061011343
are on,0.000459081753278782,0.2859802600215047
they know,0.0009963597836369293,0.28594736813454974
since,0.0041708448483597,0.2858962539231658
guys,0.0017800839262558437,0.28569762080482447
people in,0.0011859393494830363,0.28524534078605357
at time,0.0002947308528133732,0.28512293527567106
keep the,0.0006109400724765514,0.28486652750726704
inviting,0.0005319629862256058,0.284701154925119
yeah,0.0007108006956813245,0.2846000797395835
in and out,0.0018671158399756265,0.28434587747968537
the drinks were,0.0004663610717868785,0.28427248462124144
to eat,0.0004206366906878146,0.2842557825428279
church,0.0002947986831051383,0.28420329673959605
sometimes,0.0033300655754511725,0.28417986500312625
in on,0.0004127783300714597,0.28405119142953394
friend,0.0016492166208705772,0.28389947601227605
me at,0.0004582313501280129,0.28380820642147825
not going to,0.0003747073513108563,0.2836703029821897
shared,0.00034336962659393505,0.28365777961149474
take care,0.0003629766316855693,0.28353866587091753
the pumpkin,0.000344684620287825,0.28312555286857394
always clean and,0.0005637230819409475,0.2829163917203161
they were,0.00444760605032413,0.28278607312063586
the baristas,0.004474068719672529,0.28239063401098713
entering,0.0002275331081244023,0.282107276028601
wait to,0.0004079088044231201,0.2814722809568508
got the,0.0009184954421299696,0.28133664622947996
out of their,0.0003492145144986135,0.28102636965328837
recommend this,0.0008371250435434222,0.28089660409580824
spell,0.0003104670838102217,0.2800552388706279
the way it,0.0002842113663081932,0.28003483133785784
so happy,0.0004680126596621622,0.2797273823030138
definitely be,0.0004858188540310246,0.2796084461912092
if you get,0.00028814727630583747,0.279235809089985
far the best,0.0003870324698297951,0.27892532717320745
this starbucks has,0.0012407143822708866,0.27890475927244496
along the,0.0004079984762583784,0.27886928144770035
line behind,0.00021624619028192015,0.27886835798049875
just about,0.0003050712672324763,0.278566265655971
sweet and,0.0007699813936821912,0.2780351287938914
just wish,0.0004352136144167341,0.2779754994882775
the hospital,0.00023537841183431013,0.2777946171303771
of his,0.00022214912782299225,0.2777286914140754
baristas,0.006857282615471899,0.277333596834319
take care of,0.0003390946961104407,0.27723400541042276
working there,0.0005114939137856409,0.27717885124027325
was so sweet,0.0002635645087102022,0.277145321325319
all so,0.00022271596098030758,0.27678224391668615
employees are very,0.0003486966090868133,0.27658248892255183
shorter,0.0002318830492870435,0.27655402952820307
cup of joe,0.0004901485281496762,0.27655214262236577
of joe,0.0004901485281496762,0.27655214262236577
employees who,0.0003444063876102804,0.2764529954149665
it one,0.00043635898914021963,0.27636310335923353
questions,0.0007826296854426276,0.2760251850461712
highly recommend,0.0007958692589753318,0.27588680511963676
pops,0.0005017930627599979,0.2758368866478575
my next,0.00027487384393769655,0.27565533362327527
via,0.000585335215869342,0.27538349948885066
you won,0.00044807253262776886,0.2751443437194125
love this place,0.0005808246354960289,0.27510095855224576
rare,0.000479318798716646,0.2750950154002698
quaint,0.0002513201849495097,0.2749268242315611
form,0.00023372203655224342,0.2748455334030162
she was,0.0020390469956098186,0.27477087726774146
it with,0.000807513750873299,0.2745089669094399
service they,0.0005749769956633849,0.2744550002999778
willing,0.0005724276078355928,0.27432077371032626
understandable,0.00020797481716139152,0.2743048250209323
honestly,0.0010640815833440351,0.2742149499178326
the customer service,0.0013569915627090806,0.2741480943036167
just the,0.0007356435502129323,0.27405749810996743
shout out,0.0004313065624556788,0.2739371475739269
at it,0.0002910933679059613,0.27391172649522294
fav,0.0003954105618489445,0.27388487715828164
seem to be,0.0006585718472798565,0.2737571724642959
the best coffee,0.00020966823815921548,0.2737141865382455
many starbucks,0.0005290406340019696,0.2736457025183675
masks,0.0004102819117479208,0.2735478828951662
louis,0.0005090693564261956,0.2735000991289531
go to this,0.001642097836873029,0.27349002107742476
closer,0.0007280916710370546,0.2733439617274611
cheers,0.00032063835563100017,0.2730495618222148
but if,0.0008544706466526223,0.2729544034447233
always friendly,0.002003473430629154,0.27266530422364915
are fast,0.00038197044202852097,0.2723050963374773
only downside,0.0004571156366051402,0.272074798679172
studying,0.0011579205989670864,0.2720477040266227
anyone who,0.0002012018275812861,0.2718023185072416
use my,0.00028313339444599315,0.27081877161962664
on point,0.0007567343706638964,0.27078488975428544
what want,0.0004945052630262728,0.27048880011724974
my gold,0.00022586549123360214,0.2703270345516244
with,0.017850550168627247,0.27015875640458353
of things,0.0003395078753921534,0.2701377034035931
brings,0.00021063058425321187,0.2700558889040753
recommended,0.00039826009404362987,0.27004475960650043
sweetest,0.0002905235304261126,0.26957109264013074
apple,0.000563799462642232,0.26944930496732467
brand new,0.0005196399865446971,0.2694441926266575
situation,0.0007895439777112493,0.2694291265241775
excellent customer service,0.0003330380450385584,0.2694146299269879
so sweet,0.000576034300075009,0.26931085200210886
book,0.0006829235350505365,0.2692534096582605
is what,0.0009024923839577942,0.2688757693281063
many,0.004168604528661087,0.26880928630803774
everything was,0.00035430752221702797,0.2686587757950317
good drinks,0.00042339967569205746,0.2686493483521322
to put,0.0008771144655847906,0.2685646231246736
had great,0.00046528258200166997,0.2685467958338239
is very,0.003342250082484172,0.2682569829499114
not on,0.0002489764059495412,0.2681026685377944
thing,0.003440668074508289,0.26807625786007483
starbucks they,0.0013842380514959313,0.26780599991184806
ll go,0.00032330280174837464,0.2676011164836077
ll be back,0.0004497400869741433,0.2672712224002208
local coffee shop,0.00026890344146955375,0.2671419504724834
smoked,0.00024420613208100874,0.2671205822700227
fan,0.0017399036063736623,0.2670807133738592
long line,0.0012683656675557568,0.2669592897424506
black coffee,0.0004937684578976731,0.266871893795218
smooth,0.00020877102577745158,0.2665941257196742
mocha with,0.000287822695989012,0.2665747796306539
gladly,0.0002492089324319466,0.2663779777862689
is good,0.0015619157982987362,0.2663085467994709
event,0.0002378239535863571,0.26618894693730216
inside for,0.00026119718366743707,0.26609779527658106
would recommend,0.0004946827040209038,0.26605983033980474
service have,0.0004195804438021197,0.2660445842612034
above and,0.0006887494084571123,0.2657403487226847
above and beyond,0.0006887494084571123,0.2657403487226847
upon,0.000670598121351057,0.2656349146812181
tampa,0.0010341048363249983,0.2655988117827453
green tea and,0.00020507588308122708,0.26531708868589704
always go,0.0003779246171662897,0.2649823543762857
me on,0.0003542979793139369,0.26483882080597876
it pretty,0.0007293599065986203,0.26451737402098563
seat,0.0011295159483349186,0.26408202599840525
